,Name,Team,Nation_Ranking,League_Ranking,Age,MP,Goals,Shots,G/Sh,CompPass,CompPass%,ShoPass,LongPass,LongPass%,Assists,Pas3rd,SCA,GCA,TklWon,TklInt,Blocks,Clearence,Carries,CPA,Recov,AerWon%,Market_Value
571,Marc Cucurella,Chelsea,5,5,24,20,0,0.4,0.0,59.9,83.4,32.7,3.36,51.5,0.13,3.83,1.54,0.2,1.41,4.03,1.54,2.62,42.9,0.07,6.51,52.2,1.0
572,Jorge Cuenca,Villarreal,5,4,23,6,0,0.5,0.0,59.5,85.9,20.8,5.25,52.5,0.0,3.75,1.0,0.0,1.0,2.75,1.5,7.0,50.5,0.0,4.25,69.2,1.0
576,Matheus Cunha,Atl tico Madrid,5,4,23,11,0,2.86,0.0,15.2,75.3,11.4,0.71,75.0,0.48,1.43,2.38,0.48,0.24,1.43,0.95,0.71,17.6,0.95,3.81,17.6,1.0
578,Marco D'Alessandro,Monza,5,2,31,8,0,1.25,0.0,24.7,68.7,15.6,1.25,44.4,0.0,1.25,2.5,0.31,1.25,1.56,0.63,0.94,25.0,1.56,5.94,50.0,1.0
581,Damien Da Silva,Lyon,5,1,34,7,0,0.53,0.0,57.1,85.4,17.4,6.58,71.4,0.0,3.68,0.26,0.0,1.84,3.42,1.05,3.16,54.2,0.0,3.42,63.2,1.0
583,Colin Dagba,Strasbourg,5,1,24,12,0,0.32,0.0,41.9,81.8,26.3,0.81,35.7,0.0,2.58,2.9,0.32,1.61,4.19,1.94,1.61,41.8,0.48,4.84,33.3,1.0
587,Thijs Dallinga,Toulouse,5,1,22,21,7,2.01,0.26,13.3,66.9,7.84,0.45,54.5,0.07,0.82,1.87,0.22,0.3,0.6,0.6,0.75,19.5,0.45,2.01,55.8,1.0
588,Diogo Dalot,Manchester Utd,5,5,23,15,0,0.99,0.0,45.3,77.4,19.4,4.82,55.3,0.14,3.83,2.48,0.14,1.77,3.83,1.28,2.13,34.0,0.85,6.38,68.6,1.0
590,Mikkel Damsgaard,Brentford,4,5,22,11,0,1.25,0.0,28.4,71.1,15.6,1.56,45.5,0.0,4.06,3.75,0.31,2.19,3.44,1.25,1.56,27.5,0.31,7.5,12.5,1.0
591,Flavius Daniliuc,Salernitana,3,2,21,13,0,0.43,0.0,43.8,86.7,14.3,5.74,71.0,0.09,2.87,0.87,0.0,1.13,3.3,1.3,4.35,32.5,0.0,5.48,63.9,1.0
594,Danilo,Juventus,5,2,31,21,2,0.75,0.13,50.3,83.7,17.5,6.37,63.7,0.1,4.93,1.54,0.1,1.44,3.73,1.0,3.33,36.2,0.0,5.07,59.2,1.0
596,Arnaut Danjuma,Villarreal,5,4,26,10,2,2.08,0.09,13.2,73.7,8.3,0.38,66.7,0.0,0.57,2.26,0.0,0.57,0.57,0.0,0.19,16.6,1.51,1.89,0.0,1.0
597,Kevin Danso,Lens,3,1,24,22,1,0.59,0.08,59.9,90.3,19.2,5.5,74.7,0.05,4.55,1.27,0.18,0.64,2.14,1.18,3.5,57.4,0.05,6.23,71.8,1.0
598,Dante,Nice,5,1,39,22,1,0.5,0.09,61.3,90.0,21.3,6.73,67.9,0.05,3.23,0.59,0.05,1.0,3.09,1.68,3.59,59.9,0.0,6.64,67.3,1.0
599,M rton D rdai,Hertha BSC,5,3,21,7,0,0.5,0.0,22.0,55.7,6.0,4.0,29.6,0.0,1.0,0.0,0.0,0.5,3.5,0.5,6.5,23.0,0.0,6.5,50.0,1.0
600,Sergi Darder,Espanyol,5,4,29,20,2,1.02,0.1,30.5,70.5,11.5,5.03,46.3,0.05,4.52,4.31,0.25,1.07,2.64,0.76,0.66,30.9,0.25,5.43,37.5,1.0
601,Achraf Dari,Brest,4,1,23,12,1,0.4,0.25,40.2,81.9,8.0,8.1,65.9,0.0,2.2,0.5,0.2,0.9,2.5,1.0,3.7,40.9,0.0,5.1,54.3,1.0
603,Matteo Darmian,Inter,5,2,33,16,1,0.27,0.33,40.9,82.9,19.3,3.0,62.3,0.18,2.09,2.55,0.36,1.45,3.64,1.55,1.55,29.2,0.18,4.45,35.7,1.0
604,Josh Dasilva,Brentford,5,5,24,22,3,1.17,0.23,30.4,79.5,15.2,2.7,57.7,0.18,2.34,2.88,0.45,0.63,1.53,1.35,0.45,33.0,0.54,3.87,54.5,1.0
605,Jonathan David,Lille,2,1,23,21,12,3.13,0.16,20.0,82.1,12.2,0.77,93.8,0.21,1.59,3.13,0.46,0.51,0.97,0.67,0.62,26.9,1.23,2.51,15.0,1.0
606,Alphonso Davies,Bayern Munich,2,3,22,17,0,0.52,0.0,62.5,87.8,32.9,3.48,66.7,0.13,5.29,3.55,0.26,1.29,2.9,1.1,0.84,55.4,1.29,8.77,42.9,1.0
607,Ben Davies,Tottenham,2,5,29,20,2,0.63,0.2,47.7,84.4,22.8,3.44,55.6,0.06,3.75,1.44,0.25,0.44,1.75,0.81,2.69,38.4,0.06,3.5,52.9,1.0
608,Tom Davies,Everton,5,5,24,10,0,1.3,0.0,30.2,76.0,14.3,2.83,59.1,0.0,4.13,0.87,0.0,1.52,2.83,1.52,1.3,23.0,0.0,4.57,36.8,1.0
610,Craig Dawson,West Ham,5,5,32,8,0,0.75,0.0,30.6,79.0,9.25,6.0,60.8,0.0,3.13,1.5,0.13,0.75,2.0,1.13,3.25,24.1,0.0,5.63,66.7,1.0
612,Kevin De Bruyne,Manchester City,4,5,31,20,3,2.64,0.06,42.8,71.9,19.1,5.96,57.6,0.62,4.44,6.52,1.12,0.51,1.29,1.01,0.39,41.1,0.67,3.71,44.4,1.0
613,Charles De Ketelaere,Milan,4,2,21,18,0,1.54,0.0,22.7,76.0,12.9,1.15,69.2,0.13,2.31,4.1,0.26,0.64,1.79,0.9,0.13,23.1,0.9,5.0,41.9,1.0
615,Rodrigo De Paul,Atl tico Madrid,5,4,28,15,1,0.82,0.13,51.3,80.8,26.2,6.08,64.1,0.21,7.22,4.02,0.31,0.41,1.55,1.24,0.21,47.4,0.21,5.05,30.0,1.0
616,Mattia De Sciglio,Juventus,5,2,30,10,0,0.6,0.0,44.8,81.5,19.3,5.07,64.2,0.0,4.93,1.64,0.15,0.9,1.64,0.75,1.64,33.9,0.0,3.58,50.0,1.0
617,Lorenzo De Silvestri,Bologna,5,2,34,9,0,0.69,0.0,31.7,70.8,17.4,1.21,22.6,0.0,3.1,1.38,0.0,0.34,0.69,0.86,2.76,24.1,0.0,4.83,52.9,1.0
618,Thibault De Smet,Reims,4,1,24,8,0,0.0,0.0,44.0,77.3,22.2,1.54,31.6,0.13,4.36,1.03,0.13,1.67,3.46,1.15,2.18,39.4,0.0,3.85,82.4,1.0
619,Koni De Winter,Empoli,4,2,20,11,0,0.0,0.0,40.0,87.5,14.6,3.03,55.1,0.0,1.57,0.45,0.0,0.67,2.02,1.12,4.72,32.5,0.0,4.16,66.7,1.0
622,Brecht Dejaegere,Toulouse,4,1,31,18,4,1.28,0.24,24.4,78.3,13.3,1.28,63.0,0.08,2.71,2.03,0.38,0.9,2.56,1.05,0.38,29.5,0.3,4.21,33.3,1.0
623,Romain Del Castillo,Brest,5,1,26,12,4,2.5,0.06,28.8,65.3,15.4,3.97,42.9,0.44,2.5,4.26,1.18,2.06,3.38,0.88,0.29,39.9,1.62,5.88,30.8,1.0
625,Thomas Delaine,Strasbourg,5,1,30,12,0,0.38,0.0,32.7,66.7,15.8,1.39,26.8,0.13,1.52,1.77,0.38,1.01,2.53,0.89,0.76,38.1,1.01,4.18,50.0,1.0
626,Thomas Delaney,Sevilla,4,4,31,8,0,0.88,0.0,41.2,85.4,20.9,2.35,57.1,0.0,1.76,1.18,0.0,0.59,2.35,0.88,0.88,33.2,0.29,2.35,81.8,1.0
630,Andy Delort,Nice,3,1,31,14,6,2.64,0.13,16.0,60.4,8.97,1.38,48.0,0.11,1.84,2.41,0.23,0.0,0.34,0.0,0.8,25.7,0.11,1.38,52.8,1.0
632,Karamoko Dembele,Brest,4,1,19,11,0,2.86,0.0,29.3,62.1,15.0,3.57,55.6,0.0,0.0,5.0,0.0,0.0,0.71,0.0,0.0,47.9,2.14,5.0,0.0,1.0
633,Moussa Demb l ,Lyon,5,1,26,15,2,2.94,0.1,14.9,75.4,7.65,0.15,25.0,0.0,0.59,1.47,0.29,0.59,0.88,0.74,0.44,20.3,0.44,2.06,53.1,1.0
634,Ousmane Demb l ,Barcelona,5,4,25,18,5,3.2,0.13,40.9,77.1,24.3,3.52,55.1,0.41,1.56,5.0,0.82,0.9,1.39,0.82,0.16,47.4,3.44,3.77,15.4,1.0
635,Siriki Demb l ,Bournemouth,3,5,26,6,0,1.67,0.0,30.8,78.7,18.3,1.67,100.0,0.0,1.67,4.17,0.0,0.83,3.33,0.83,0.83,39.2,0.83,7.5,0.0,1.0
637,Merih Demiral,Atalanta,3,2,24,18,1,0.37,0.2,30.1,84.4,11.3,3.31,64.3,0.0,0.88,0.22,0.0,1.47,3.82,1.4,3.9,18.5,0.07,7.21,61.9,1.0
638,Kerem Demirbay,Leverkusen,5,3,29,17,3,1.7,0.18,46.5,74.2,21.9,5.3,43.4,0.3,4.2,2.7,0.5,1.1,3.1,1.5,0.5,35.2,0.2,5.0,40.0,1.0
642,Branco van den Boomen,Toulouse,5,1,27,22,5,1.78,0.03,50.5,75.9,16.7,12.1,61.4,0.33,8.27,4.95,0.84,0.79,2.2,0.93,0.75,51.8,0.23,6.03,35.3,1.0
643,Leander Dendoncker,Aston Villa,4,5,27,12,0,0.26,0.0,33.9,87.2,17.4,1.58,60.0,0.0,2.37,1.84,0.0,1.05,4.47,2.63,1.58,22.1,0.0,5.26,45.5,1.0
645,Emmanuel Dennis,Nott'ham Forest,3,5,25,11,1,2.44,0.09,17.1,69.4,10.4,1.56,77.8,0.22,0.89,3.11,0.44,1.11,1.56,1.11,0.44,27.3,0.89,4.0,40.0,1.0
646,Fabio Depaoli,Hellas Verona,5,2,25,16,2,0.92,0.17,21.5,66.7,9.15,3.23,53.8,0.15,2.31,2.23,0.15,1.08,2.54,1.15,1.54,18.3,0.23,5.62,33.3,1.0
651,Mikkel Desler,Toulouse,4,1,27,15,0,0.52,0.0,49.3,84.9,27.7,2.39,59.3,0.07,4.03,2.01,0.3,1.79,4.55,1.27,1.64,48.6,0.3,5.75,76.9,1.0
652,Cyriel Dessers,Cremonese,3,2,28,18,3,2.76,0.08,10.1,63.8,5.67,0.45,54.5,0.0,0.67,2.16,0.0,0.07,0.75,0.82,0.22,15.1,1.27,1.49,18.6,1.0
653,Sergi o Dest,Milan,3,2,22,8,0,0.54,0.0,45.7,85.4,25.7,1.35,41.7,0.0,4.05,2.97,0.27,1.62,4.32,0.27,0.54,35.9,0.0,7.84,75.0,1.0
654,Mattia Destro,Empoli,5,2,31,10,1,3.53,0.06,6.47,55.9,4.51,0.39,50.0,0.0,0.2,1.57,0.2,0.2,0.39,0.39,0.78,12.9,0.59,1.18,27.3,1.0
655,Gerard Deulofeu,Udinese,5,2,28,16,2,3.26,0.05,32.8,75.3,19.3,2.0,42.2,0.44,2.96,6.15,0.67,0.37,0.74,0.59,0.07,33.7,2.44,3.26,20.0,1.0
656,Kiernan Dewsbury-Hall,Leicester City,5,5,24,20,2,0.88,0.13,35.2,75.3,18.5,3.45,53.2,0.12,4.62,3.27,0.47,0.99,2.75,1.87,0.76,34.3,0.64,6.08,55.6,1.0
658,Federico Di Francesco,Lecce,5,2,28,22,1,1.84,0.04,17.5,68.0,10.5,0.8,30.3,0.16,0.88,2.48,0.4,0.8,1.68,0.88,0.72,22.3,1.28,3.92,35.7,1.0
660,Giovanni Di Lorenzo,Napoli,5,2,29,21,1,0.77,0.06,63.1,86.0,32.3,4.64,67.8,0.14,4.93,3.44,0.57,0.86,2.49,0.91,1.67,50.0,0.1,4.88,53.3,1.0
661, ngel Di Mar a,Juventus,5,2,34,12,3,2.5,0.12,31.3,75.0,14.7,5.29,61.0,0.29,3.68,5.74,0.59,0.59,1.32,1.03,0.0,32.8,0.59,3.68,100.0,1.0
662,Boulaye Dia,Salernitana,3,2,26,20,8,1.53,0.32,16.1,75.9,8.34,0.98,66.7,0.25,0.86,2.45,0.31,0.18,0.74,0.18,0.74,22.0,0.49,3.44,29.7,1.0
663,Moussa Diaby,Leverkusen,5,3,23,20,7,2.23,0.17,25.7,75.2,14.5,1.96,53.7,0.16,1.68,3.53,0.54,0.33,0.82,0.33,0.11,27.6,1.85,3.1,13.3,1.0
665,Bafod  Diakit ,Lille,5,1,22,21,0,0.57,0.0,56.1,86.8,26.7,3.04,66.3,0.0,4.23,1.44,0.0,1.29,2.37,1.34,2.32,51.0,0.26,5.62,43.6,1.0
669,Habib Diallo,Strasbourg,3,1,27,22,10,2.22,0.24,14.3,68.3,8.77,0.53,69.2,0.0,1.17,1.4,0.12,0.41,1.29,0.7,0.41,22.5,0.35,2.57,44.8,1.0
670,Ibrahima Diallo,Southampton,5,5,23,13,0,0.76,0.0,31.5,76.9,18.0,1.77,48.3,0.0,2.28,0.63,0.0,1.27,2.91,1.01,1.01,28.1,0.0,8.86,68.2,1.0
671,Ismael Diallo,Ajaccio,3,1,26,19,0,0.12,0.0,34.1,74.7,13.8,4.76,56.3,0.0,3.29,0.71,0.0,1.12,2.65,1.06,1.76,35.1,0.0,7.29,53.3,1.0
673,Mouhamadou Diarra,Strasbourg,3,1,19,16,0,0.99,0.0,25.8,73.9,11.0,2.2,44.4,0.0,2.97,2.09,0.11,1.1,2.64,1.21,1.1,34.9,0.66,6.15,31.3,1.0
674,Moussa Diarra,Toulouse,1,1,22,17,0,0.09,0.0,39.5,83.8,18.0,2.36,60.5,0.09,2.36,1.27,0.27,0.73,3.18,1.73,2.0,39.8,0.09,5.0,58.3,1.0
675,St phane Diarra,Lorient,5,1,24,19,1,1.76,0.06,18.7,69.7,11.2,0.66,54.5,0.0,0.66,2.53,0.55,1.54,4.18,1.21,0.88,32.3,1.98,8.24,50.0,1.0
677,R ben Dias,Manchester City,5,5,25,13,0,0.52,0.0,85.6,92.2,30.4,4.95,75.0,0.0,5.26,0.62,0.0,0.31,1.86,0.93,2.58,59.9,0.1,4.23,66.7,1.0
678,Kr pin Diatta,Monaco,3,1,23,19,2,2.08,0.06,24.2,76.1,13.8,0.74,45.8,0.13,2.68,3.15,0.47,0.81,1.88,1.34,0.4,30.3,1.34,4.16,54.9,1.0
680,Brahim D az,Milan,5,2,23,19,4,1.83,0.19,26.9,78.6,14.3,1.48,53.1,0.26,4.17,4.26,0.7,0.7,1.91,0.78,0.35,31.4,0.78,5.3,15.4,1.0
681,Luis D az,Liverpool,4,5,26,8,3,2.35,0.19,29.9,79.3,18.2,1.76,85.7,0.29,2.65,2.94,0.59,1.18,1.76,0.88,0.0,35.9,1.76,3.97,30.0,1.0
683,Bamba Dieng,Marseille,3,1,22,10,1,5.0,0.09,12.3,62.8,8.18,0.91,100.0,0.0,0.45,2.73,0.45,1.82,1.82,2.27,0.0,24.5,0.91,3.18,47.4,1.0
685,Eric Dier,Tottenham,5,5,29,22,2,0.66,0.14,57.4,86.2,20.9,6.57,62.2,0.0,2.58,0.99,0.05,0.56,2.16,1.13,3.38,45.8,0.05,4.13,63.5,1.0
686,Florian Dietz,K ln,5,3,24,11,1,3.86,0.06,8.86,51.3,6.14,0.45,40.0,0.0,0.91,1.36,0.0,0.23,0.45,0.91,0.45,15.5,0.91,1.82,66.7,1.0
687,Lucas Digne,Aston Villa,5,5,29,15,1,0.49,0.17,43.5,75.9,24.6,3.17,50.0,0.0,2.2,1.63,0.0,0.65,2.85,0.89,2.6,34.5,0.08,5.45,58.1,1.0
688,Federico Dimarco,Inter,5,2,25,21,3,1.9,0.1,39.7,72.2,16.9,6.13,48.8,0.06,2.52,4.05,0.25,0.98,2.09,0.8,1.17,34.1,0.18,5.09,25.0,1.0
690,Junior Dina Ebimbe,Eint Frankfurt,5,3,22,11,2,1.84,0.13,27.9,71.5,16.6,1.38,35.3,0.11,2.18,1.72,0.11,1.84,3.56,1.38,1.38,27.1,0.57,6.21,54.5,1.0
691,Tristan Dingom ,Troyes,2,1,31,8,0,2.73,0.0,50.0,70.5,28.2,2.73,33.3,0.0,6.36,7.27,0.0,0.91,0.91,0.0,0.0,60.0,0.91,9.09,25.0,1.0
692,Eren Dink i,Werder Bremen,5,3,21,7,0,2.0,0.0,14.7,56.4,8.0,0.0,0.0,0.0,0.0,1.33,0.67,2.0,2.0,1.33,0.67,28.7,0.0,2.67,28.6,1.0
693,Sinaly Diomande,Lyon,3,1,21,11,0,0.51,0.0,62.5,86.1,22.3,5.56,65.5,0.0,5.86,0.71,0.0,1.11,4.85,0.91,3.13,61.3,0.0,4.24,66.7,1.0
694,Lois Diony,Angers,5,1,30,8,1,2.04,0.1,18.4,78.3,11.8,0.2,50.0,0.0,1.02,2.04,0.0,0.0,0.2,0.41,0.2,22.2,0.61,1.22,48.6,1.0
695,Issa Diop,Fulham,5,5,26,15,1,0.24,0.33,53.7,84.8,14.9,6.06,62.6,0.0,3.46,0.39,0.0,1.1,2.83,1.18,2.99,46.8,0.0,5.12,59.0,1.0
696,Sofiane Diop,Nice,5,1,22,15,1,1.82,0.06,38.9,80.2,21.0,2.73,61.4,0.4,3.03,3.74,0.71,0.91,2.22,1.21,0.3,47.7,0.51,6.67,54.5,1.0
699,Axel Disasi,Monaco,5,1,24,23,2,0.64,0.14,43.1,83.5,13.5,5.68,65.1,0.14,5.5,0.77,0.23,0.68,2.82,1.55,3.32,42.8,0.09,6.18,69.4,1.0
701,Tiago Djal ,Lille,5,1,22,21,2,0.62,0.17,66.2,92.3,27.8,5.7,79.1,0.0,3.16,0.36,0.1,1.09,2.75,0.78,2.69,63.1,0.05,7.67,46.3,1.0
703,Moussa Djenepo,Southampton,1,5,24,12,0,0.47,0.0,24.5,73.7,14.1,1.25,42.1,0.16,1.88,2.03,0.31,1.41,4.38,1.88,0.94,26.4,0.31,7.5,27.3,1.0
704,Koffi Djidji,Torino,3,2,30,19,1,0.47,0.13,43.4,85.2,17.5,3.96,60.4,0.0,3.43,0.59,0.06,0.83,3.25,1.01,2.66,31.4,0.0,5.09,48.3,1.0
705,Alexander Djiku,Strasbourg,2,1,28,21,1,0.55,0.09,43.1,81.0,11.8,7.5,67.3,0.1,4.8,0.6,0.1,1.25,4.0,1.7,4.8,41.5,0.0,4.9,68.2,1.0
711,Ritsu Doan,Freiburg,3,3,24,20,2,2.18,0.06,17.6,71.1,10.9,1.15,67.9,0.18,1.58,2.67,0.36,1.09,3.15,1.82,0.36,25.0,1.88,4.73,6.3,1.0
712,Dod ,Fiorentina,5,2,24,17,0,0.3,0.0,48.7,83.6,21.8,4.55,66.7,0.08,2.95,2.27,0.15,0.61,2.2,0.83,0.98,40.2,0.23,6.67,66.7,1.0
713,Danilho Doekhi,Union Berlin,5,3,24,11,4,0.46,0.8,31.7,78.4,13.0,2.2,48.0,0.09,3.03,0.55,0.18,1.19,3.21,1.38,3.67,26.9,0.09,3.58,56.3,1.0
714,Matt Doherty,Tottenham,1,5,31,12,1,1.35,0.1,44.5,80.6,25.7,2.43,51.4,0.0,1.89,2.43,0.41,1.35,3.24,1.49,1.89,33.4,0.27,4.19,60.6,1.0
715,Josh Doig,Hellas Verona,4,2,20,14,2,1.44,0.13,22.5,65.9,11.5,2.5,47.3,0.29,2.12,2.6,0.58,0.38,2.31,1.06,0.58,21.1,0.38,6.73,50.0,1.0
716,Jeremy Doku,Rennes,4,1,20,15,0,1.49,0.0,32.8,82.4,17.9,2.13,100.0,0.0,1.49,4.26,0.0,1.49,2.55,0.85,0.21,51.1,3.4,8.51,28.6,1.0
720,Nicol s Dom nguez,Bologna,5,2,24,18,1,1.42,0.05,38.0,78.1,20.2,3.31,61.3,0.14,4.05,2.84,0.27,2.09,4.05,1.15,0.68,29.7,0.2,6.15,50.0,1.0
726,Gabriel Dos Santos,Arsenal,5,5,25,21,2,0.9,0.11,55.3,89.2,22.2,3.81,59.3,0.0,4.67,0.67,0.0,1.0,2.29,1.38,3.67,44.0,0.05,5.19,48.9,1.0
728,Lohann Doucet,Nantes,5,1,20,8,0,1.11,0.0,62.2,82.4,21.1,6.67,60.0,0.0,3.33,5.56,0.0,0.0,5.56,2.22,1.11,60.0,0.0,11.1,0.0,1.0
729,Abdoulaye Doucour ,Everton,1,5,30,11,0,1.14,0.0,33.4,78.5,18.6,0.57,66.7,0.0,2.57,1.43,0.0,1.43,2.57,1.14,0.86,27.7,0.0,7.14,40.0,1.0
730,Cheick Doucour ,Crystal Palace,1,5,23,20,0,1.26,0.0,35.1,83.3,17.0,2.84,72.2,0.11,3.99,2.08,0.16,1.91,5.08,1.42,1.37,25.9,0.0,7.1,46.4,1.0
732,D sir  Dou ,Rennes,5,1,17,16,3,1.67,0.23,25.4,80.2,14.2,1.79,63.6,0.13,2.56,2.31,0.13,1.67,4.36,1.41,0.0,35.5,0.77,4.62,42.1,1.0
734,Isma l Doukour ,Strasbourg,5,1,19,13,1,0.35,0.25,33.0,81.4,13.5,3.89,53.7,0.0,3.63,0.44,0.0,0.53,2.57,1.06,2.04,34.6,0.09,5.58,45.5,1.0
735,Kamory Doumbia,Reims,1,1,19,19,2,1.92,0.05,30.2,78.7,14.3,1.72,53.1,0.2,4.85,3.23,0.3,1.11,3.33,1.21,0.1,38.3,0.3,5.96,30.4,1.0
736,Souleyman Doumbia,Angers,3,1,26,18,0,0.24,0.0,38.2,80.5,21.6,2.01,47.8,0.0,2.5,1.46,0.0,1.46,3.35,1.04,1.59,38.5,0.3,6.4,53.8,1.0
737,Flynn Downes,West Ham,5,5,24,10,0,0.59,0.0,28.2,81.4,20.0,1.47,62.5,0.0,2.06,1.76,0.0,1.47,2.94,2.65,0.59,24.7,0.29,5.88,40.0,1.0
741,Dominick Drexler,Schalke 04,5,3,32,16,2,1.08,0.2,21.0,66.1,10.3,1.61,65.2,0.32,2.15,3.01,0.32,1.18,1.94,1.08,0.75,21.3,0.11,5.48,40.0,1.0
742,Domingos Duarte,Getafe,5,4,27,19,0,0.59,0.0,27.6,79.1,8.86,4.43,59.9,0.11,1.62,0.32,0.16,0.54,2.27,1.19,5.03,22.5,0.0,3.57,64.4,1.0
743,Marvin Ducksch,Werder Bremen,5,3,28,20,4,2.7,0.08,19.2,62.5,9.78,2.11,37.1,0.27,1.19,3.84,0.86,0.16,0.65,0.27,1.41,18.2,0.59,3.46,48.7,1.0
745,Ondrej Duda,K ln,2,3,28,13,0,1.56,0.0,27.0,74.6,12.6,2.6,54.1,0.0,3.64,2.86,0.39,1.04,1.43,0.91,0.39,28.4,0.39,5.58,31.3,1.0
747,R my Dugimont,Auxerre,5,1,36,10,0,3.33,0.0,33.3,67.8,14.2,3.33,80.0,0.83,2.5,4.17,0.83,0.83,1.67,2.5,4.17,49.2,0.0,9.17,50.0,1.0
748,Denzel Dumfries,Inter,5,2,26,18,1,1.5,0.05,26.9,73.1,12.9,2.18,49.2,0.15,0.68,3.38,0.45,0.45,1.65,1.28,1.35,25.0,0.9,3.76,59.0,1.0
749,Alfred Duncan,Fiorentina,2,2,29,13,0,0.33,0.0,36.2,76.4,14.5,4.0,52.2,0.0,5.17,2.83,0.33,1.17,2.5,0.67,0.67,32.3,0.17,5.67,72.7,1.0
750,Lewis Dunk,Brighton,5,5,31,21,0,0.48,0.0,73.5,89.9,24.5,8.62,67.3,0.0,4.86,0.57,0.05,0.38,1.62,1.1,2.67,59.9,0.0,6.76,52.3,1.0
754,Hugo Duro,Valencia,5,4,23,15,1,2.67,0.06,15.0,75.0,9.67,0.17,50.0,0.0,0.67,1.67,0.17,0.33,1.0,0.17,0.5,16.3,0.83,2.17,35.7,1.0
755,Jean-Kevin Duverne,Brest,5,1,25,19,0,0.13,0.0,38.9,72.8,19.5,4.29,47.5,0.0,4.29,1.62,0.06,1.56,3.83,1.17,2.01,38.6,0.26,5.52,58.8,1.0
756,Paulo Dybala,Roma,5,2,29,16,8,2.82,0.16,32.8,77.8,17.3,4.81,66.3,0.46,2.67,5.11,0.53,0.15,1.15,0.69,0.23,34.7,0.99,4.27,18.2,1.0
760,Enzo Ebosse,Udinese,2,2,23,18,0,0.3,0.0,43.9,81.3,17.3,6.34,64.0,0.0,4.16,0.79,0.0,0.79,2.38,2.48,2.87,32.5,0.1,4.75,51.7,1.0
761,Tyronne Ebuehi,Empoli,3,2,27,13,1,1.1,0.1,35.9,79.0,16.8,2.86,57.8,0.11,1.54,1.32,0.11,0.55,1.54,1.21,3.3,28.1,0.22,4.51,23.5,1.0
763, derson,Atalanta,5,2,23,19,1,1.75,0.05,32.3,80.2,14.9,3.25,72.2,0.0,2.17,2.25,0.17,1.83,4.58,1.92,0.67,31.6,0.67,6.92,30.0,1.0
764,Odsonne  douard,Crystal Palace,5,5,25,20,3,2.07,0.12,16.3,71.6,11.7,0.25,50.0,0.17,0.58,2.48,0.25,0.83,1.98,0.83,1.4,18.8,1.16,3.31,49.0,1.0
765,Samuel Edozie,Southampton,5,5,20,15,0,1.33,0.0,17.0,67.5,11.7,0.67,44.4,0.0,0.83,3.0,0.0,1.33,3.5,1.0,1.0,28.3,1.67,4.83,35.3,1.0
766,Maximilian Eggestein,Freiburg,5,3,26,19,0,0.39,0.0,24.7,77.4,13.5,1.42,62.9,0.13,3.23,1.94,0.32,0.9,3.1,1.23,0.77,18.6,0.06,5.23,55.3,1.0
767,Lilian Egloff,Stuttgart,5,3,20,10,0,2.96,0.0,15.6,57.5,10.7,0.37,20.0,0.0,1.11,3.7,0.74,3.7,4.81,0.74,0.37,23.0,1.11,4.81,42.9,1.0
768,  igo Eguaras,Almer a,5,4,30,16,1,0.71,0.2,45.3,84.5,21.7,5.0,67.3,0.14,5.57,2.14,0.29,1.14,2.14,1.0,1.29,34.4,0.0,7.29,60.0,1.0
769,Kingsley Ehizibue,Udinese,5,2,27,16,1,0.72,0.2,29.1,70.8,13.0,2.9,55.6,0.0,2.75,2.03,0.29,1.74,2.75,0.72,2.75,25.5,0.14,5.51,60.0,1.0
771,Chidera Ejuke,Hertha BSC,3,3,25,15,0,2.39,0.0,23.9,79.2,13.4,2.16,79.2,0.34,2.95,3.86,0.57,0.34,0.68,0.34,0.0,30.8,1.82,6.59,66.7,1.0
772,Albin Ekdal,Spezia,2,2,33,15,0,0.92,0.0,25.4,70.2,14.3,1.08,41.2,0.15,2.77,2.77,0.0,1.23,2.77,1.08,2.15,24.9,0.0,6.77,53.3,1.0
773,Hugo Ekitike,Paris S-G,5,1,20,16,3,2.2,0.17,21.8,82.9,14.4,0.73,85.7,0.37,1.1,1.83,0.61,0.49,1.46,1.22,0.24,26.0,0.85,3.17,41.7,1.0
775,Anthony Elanga,Manchester Utd,2,5,20,13,0,1.82,0.0,20.5,73.8,14.1,0.68,100.0,0.23,0.68,3.64,0.23,0.0,0.91,0.91,0.91,23.0,1.14,3.64,38.9,1.0
777,Mikael Ellertsson,Spezia,1,2,20,11,0,1.05,0.0,12.6,60.0,8.42,0.0,0.0,0.0,1.58,2.63,0.0,1.05,3.16,1.05,0.0,11.1,0.0,3.68,50.0,1.0
778,Harvey Elliott,Liverpool,5,5,19,20,1,1.67,0.05,43.3,79.6,24.8,2.06,50.0,0.08,4.05,3.89,0.48,0.56,1.51,1.59,0.48,41.2,0.63,5.95,10.0,1.0
781,Aritz Elustondo,Real Sociedad,5,4,28,16,0,0.53,0.0,42.7,81.8,19.3,2.98,57.6,0.09,2.54,0.79,0.18,1.05,3.42,1.05,2.63,31.3,0.0,3.77,40.6,1.0
782,Nico Elvedi,M'Gladbach,3,3,26,17,2,0.61,0.2,62.1,92.6,22.4,4.79,73.1,0.0,1.52,0.79,0.06,0.85,2.73,0.91,4.0,48.9,0.06,4.97,59.2,1.0
