,Nation_Ranking,League_Ranking,Age,MP,TotGoals,Shots,G/Sh,CompPass,CompPass%,ShoPass,LongPass,LongPass%,Assists,Pas3rd,SCA,GCA,TklWon,TklInt,Blocks,Clearence,Carries,CPA,Recov,AerWon%,MV
400,5,5,21,18,2,0.88,0.17,30.3,82.7,18.2,1.53,72.4,0.15,3.28,2.77,0.22,1.82,3.94,2.34,0.95,28.6,0.58,5.26,30.0,20.0
401,5,5,38,10,1,4.31,0.04,20.9,74.7,14.7,0.17,20.0,0.0,1.21,1.72,0.0,0.34,0.52,0.0,1.55,16.2,0.52,2.07,65.2,20.0
402,5,2,21,12,0,0.92,0.0,67.8,88.2,27.6,9.08,76.7,0.0,7.04,3.16,0.31,1.53,4.18,1.33,0.61,54.4,0.1,7.14,50.0,20.0
403,4,2,23,14,0,1.45,0.0,27.9,75.4,15.1,1.58,66.7,0.13,2.37,2.37,0.26,1.71,3.55,0.66,0.79,30.4,1.05,3.29,87.5,20.0
404,5,4,22,21,8,2.04,0.22,28.5,83.0,16.8,1.59,73.5,0.0,3.06,2.87,0.0,0.51,1.15,0.45,0.32,30.3,0.57,5.61,56.5,20.0
405,4,5,26,13,0,0.63,0.0,55.6,87.7,19.8,2.81,45.0,0.0,4.38,0.63,0.0,0.94,3.91,1.41,3.91,43.4,0.0,4.53,64.0,20.0
406,5,1,30,14,0,1.46,0.0,35.9,78.6,19.8,1.46,37.5,0.0,3.41,4.63,0.24,0.98,1.71,0.73,0.0,44.1,0.0,3.9,0.0,20.0
407,5,5,29,20,0,0.21,0.0,38.3,80.2,21.6,2.34,52.4,0.07,2.91,1.42,0.14,1.99,4.18,1.56,3.12,32.4,0.14,5.53,46.4,20.0
408,5,5,22,17,2,2.0,0.11,31.1,71.8,19.8,1.78,55.2,0.0,1.78,2.56,0.22,1.22,2.56,0.89,1.89,25.9,0.56,5.44,50.0,20.0
409,5,3,27,20,4,2.93,0.1,19.2,72.6,13.1,0.38,62.5,0.23,0.9,3.61,0.75,0.08,0.6,0.6,0.23,24.3,1.28,2.48,40.6,20.0
410,5,1,25,20,1,0.47,0.11,45.8,75.7,23.7,3.0,33.9,0.37,4.42,3.11,0.58,1.68,3.11,0.95,2.11,43.2,0.21,6.32,31.3,20.0
411,4,5,23,12,2,2.17,0.15,30.2,82.3,15.7,1.5,81.8,0.0,2.0,3.67,0.17,1.5,3.33,0.67,0.17,29.8,1.0,6.0,52.6,20.0
412,4,3,25,14,0,0.82,0.0,45.9,72.1,23.3,4.64,41.8,0.55,3.45,4.64,0.55,0.82,2.09,0.73,1.55,37.7,0.36,6.18,60.0,20.0
413,2,4,27,16,8,2.39,0.24,13.2,70.0,8.31,0.35,62.5,0.07,0.35,2.46,0.14,0.21,0.63,0.35,0.99,18.5,0.7,2.54,55.3,20.0
414,5,3,27,20,1,0.42,0.14,51.6,89.1,19.0,4.28,67.0,0.0,1.87,0.66,0.0,0.6,2.41,0.84,4.52,35.5,0.0,5.36,57.4,20.0
415,5,5,30,21,1,0.71,0.07,42.7,84.3,14.0,5.24,60.4,0.0,2.95,0.52,0.0,0.62,2.52,2.71,5.43,31.1,0.0,4.33,69.9,20.0
416,5,1,25,16,9,3.2,0.19,30.4,74.1,15.6,2.59,73.1,0.27,2.65,3.81,0.61,0.75,2.65,1.02,0.41,39.5,0.61,3.95,63.0,20.0
417,4,1,22,22,2,0.55,0.17,65.9,90.1,18.3,7.4,76.8,0.0,7.03,0.78,0.09,0.64,1.83,0.59,3.06,66.4,0.0,4.93,55.7,20.0
418,5,1,28,16,0,0.97,0.0,76.0,88.9,31.0,10.2,83.3,0.0,10.8,3.88,0.39,1.26,2.82,0.87,0.68,78.3,0.0,7.96,57.7,20.0
419,5,4,28,19,3,1.03,0.19,39.7,79.0,21.4,4.74,66.7,0.06,4.68,2.88,0.26,1.03,2.05,1.15,0.38,41.5,0.26,5.96,21.4,20.0
420,5,5,32,22,1,0.37,0.13,52.2,71.4,22.9,8.8,50.4,0.18,4.56,4.93,0.32,1.52,3.36,1.2,1.98,33.5,0.05,6.96,58.8,20.0
421,3,4,25,20,6,2.34,0.11,14.4,64.1,9.43,0.47,52.9,0.16,1.09,2.03,0.26,0.47,0.78,0.52,1.35,18.6,0.42,2.81,45.4,20.0
422,5,2,31,13,1,0.74,0.11,45.5,88.2,15.4,2.64,55.2,0.0,2.15,0.33,0.0,0.66,3.39,0.5,3.39,34.1,0.0,4.55,67.3,20.0
423,5,5,25,8,0,0.15,0.0,39.7,82.1,27.2,1.76,66.7,0.0,3.24,1.76,0.15,1.91,4.56,1.03,2.65,29.7,0.29,5.15,41.7,20.0
424,4,2,31,15,1,2.84,0.05,19.3,66.8,10.7,1.62,60.0,0.14,1.35,2.7,0.41,0.14,0.14,0.14,1.22,25.5,1.49,2.43,53.3,20.0
425,5,5,28,15,1,0.77,0.09,36.8,85.6,12.5,4.15,61.5,0.0,0.63,0.28,0.14,0.14,1.2,0.49,5.42,27.3,0.0,3.94,88.1,20.0
426,5,4,33,14,1,0.87,0.11,82.6,85.2,45.2,5.83,64.5,0.29,9.51,3.98,0.39,1.26,2.14,0.78,1.36,62.5,0.39,6.8,37.5,18.0
427,5,3,28,20,4,1.04,0.1,38.3,74.2,9.9,8.33,54.6,0.1,3.33,3.33,0.36,0.89,2.55,1.25,2.08,29.6,0.05,7.55,48.7,18.0
428,3,5,25,16,4,2.35,0.21,11.1,72.6,7.78,0.12,25.0,0.0,0.37,2.1,0.12,0.99,1.36,0.86,1.23,17.4,0.62,4.07,18.9,18.0
429,5,5,25,7,0,1.05,0.0,24.2,75.4,16.3,0.53,50.0,0.0,0.0,3.16,0.0,0.0,0.53,1.05,0.53,20.5,0.0,1.58,50.0,18.0
430,3,3,27,18,5,1.4,0.16,40.3,76.5,19.9,3.63,50.8,0.0,2.79,1.28,0.11,1.01,2.74,1.56,3.74,31.6,0.5,5.87,65.2,18.0
431,4,5,23,6,0,0.0,0.0,60.0,94.3,26.8,5.0,91.7,0.0,7.73,1.82,0.0,0.45,2.73,0.45,0.91,43.6,0.0,6.36,60.0,18.0
432,5,3,17,12,3,4.64,0.23,34.6,82.2,20.4,1.07,100.0,0.0,1.79,2.86,0.36,0.0,0.0,1.79,0.36,43.2,1.43,4.29,53.3,18.0
433,5,1,30,8,2,3.13,0.2,19.7,65.6,10.6,2.5,88.9,0.31,2.5,2.81,0.94,0.31,1.56,0.31,0.0,32.8,0.94,5.31,46.2,18.0
434,2,1,22,20,1,0.6,0.08,59.5,91.6,29.6,3.35,77.9,0.0,6.0,1.6,0.0,0.8,2.6,1.3,0.8,61.0,0.15,6.6,50.0,15.0
435,5,5,25,14,1,0.33,0.25,38.9,80.1,9.59,3.77,48.4,0.0,2.38,0.41,0.0,0.41,2.13,0.82,5.33,28.9,0.0,4.67,83.9,15.0
436,2,2,20,12,0,2.5,0.0,17.8,78.9,12.3,0.75,60.0,0.0,0.75,1.75,0.0,0.5,1.0,0.25,0.75,22.3,0.5,4.25,33.3,15.0
437,2,5,24,9,0,0.12,0.0,30.5,75.1,15.4,2.71,57.5,0.0,2.35,0.47,0.0,0.94,2.12,0.71,2.59,25.2,0.0,4.24,57.7,15.0
438,5,4,19,8,0,3.14,0.0,13.1,63.0,8.86,0.57,25.0,0.57,0.57,3.14,0.57,0.86,2.0,1.71,0.57,27.7,2.0,5.14,11.1,15.0
439,5,4,28,18,1,0.34,0.17,44.3,81.9,14.7,6.55,58.2,0.06,5.69,1.15,0.11,0.8,3.33,0.92,3.74,34.7,0.0,7.07,57.4,15.0
440,2,2,22,16,0,0.79,0.0,36.4,74.7,13.8,3.97,46.5,0.07,4.24,1.79,0.26,1.66,4.11,1.85,2.05,29.7,0.0,7.09,63.6,15.0
441,5,1,32,20,1,0.77,0.07,57.3,84.3,25.2,6.82,74.3,0.05,8.51,2.46,0.26,2.31,5.59,1.69,2.0,60.7,0.0,8.92,61.9,15.0
442,5,3,26,19,0,0.62,0.0,36.1,66.2,15.4,5.03,44.7,0.28,2.66,3.28,0.4,0.45,1.75,1.07,1.81,28.9,0.06,4.97,31.8,15.0
443,5,1,24,9,1,1.33,0.17,51.1,79.0,27.6,4.67,65.6,0.22,6.89,1.78,0.44,0.67,3.11,2.22,0.44,61.6,0.89,4.89,71.4,15.0
444,3,1,26,13,1,1.27,0.11,47.0,80.7,26.5,3.8,55.1,0.0,3.1,3.66,0.28,2.68,6.34,0.85,1.55,50.6,0.7,5.77,46.2,15.0
445,5,4,22,6,0,0.2,0.0,68.8,89.6,27.4,5.8,69.0,0.0,5.4,0.2,0.0,1.2,2.6,1.0,3.4,60.2,0.0,7.6,44.4,15.0
446,5,4,21,18,4,2.96,0.12,26.3,77.5,13.4,1.91,64.7,0.09,2.61,3.48,0.35,0.78,1.83,0.78,0.96,29.9,0.7,5.22,0.0,15.0
447,5,3,24,20,5,1.09,0.24,43.3,78.6,16.9,4.69,60.0,0.05,4.22,2.29,0.26,0.68,2.45,1.67,2.14,36.9,0.26,5.83,37.1,15.0
448,5,1,24,23,0,0.15,0.0,47.4,85.4,13.8,6.33,75.6,0.05,3.47,0.26,0.05,1.07,3.62,1.53,3.06,47.8,0.0,6.38,50.7,15.0
449,1,2,28,17,1,1.44,0.06,29.3,80.6,16.1,2.07,65.7,0.0,3.42,1.89,0.0,0.63,1.35,0.72,0.72,28.1,0.27,3.6,33.3,15.0
450,5,4,21,7,1,0.95,0.5,24.3,76.1,14.3,1.9,66.7,0.0,0.48,0.48,0.0,1.43,3.81,1.43,0.95,20.0,0.48,9.52,30.8,15.0
451,5,2,29,18,0,1.78,0.0,15.1,68.0,8.0,0.89,80.0,0.0,0.67,2.22,0.0,0.67,1.56,0.89,0.44,18.7,1.11,2.44,25.0,15.0
452,5,1,29,21,3,1.69,0.06,43.3,73.6,17.9,5.34,52.9,0.26,4.87,5.24,0.58,0.74,1.75,1.27,0.85,50.9,0.11,5.24,16.7,15.0
453,5,3,22,11,1,3.39,0.05,12.0,65.1,6.27,1.36,57.1,0.34,0.51,3.39,0.51,0.17,0.68,1.02,0.17,21.7,1.02,2.2,34.8,15.0
454,5,5,30,22,0,0.53,0.0,39.9,79.3,19.2,2.91,52.6,0.0,2.72,0.97,0.05,0.83,2.14,1.17,4.03,27.2,0.05,4.47,67.9,15.0
455,5,3,18,9,3,4.38,0.21,21.3,79.1,14.4,0.31,20.0,0.0,2.5,3.75,1.88,0.94,1.56,0.0,0.0,32.8,3.44,2.5,37.5,15.0
456,1,1,23,18,0,1.04,0.0,46.6,87.5,18.7,6.49,76.9,0.13,5.19,1.95,0.45,2.08,4.74,2.14,0.65,50.8,0.0,7.14,78.6,15.0
457,5,2,29,21,4,2.24,0.09,32.4,79.9,20.2,2.11,67.4,0.07,1.97,2.72,0.54,0.27,0.82,0.75,0.07,34.6,1.5,3.74,26.7,15.0
458,5,4,30,18,2,0.93,0.14,55.5,86.0,27.5,4.93,73.3,0.07,5.4,1.93,0.27,0.93,2.07,1.13,0.8,45.5,0.27,5.6,56.7,15.0
459,5,2,24,15,1,0.48,0.14,52.1,91.5,21.2,4.59,79.8,0.07,1.64,0.55,0.14,0.96,2.81,0.96,2.95,37.8,0.0,5.82,57.8,15.0
460,5,4,24,20,4,2.62,0.07,8.93,63.0,5.18,0.6,71.4,0.0,0.77,1.37,0.12,0.18,0.65,0.89,0.77,13.1,0.36,2.2,39.7,15.0
461,5,4,26,13,0,0.95,0.0,78.1,91.6,38.7,7.46,87.0,0.16,11.9,5.08,0.63,1.27,4.29,1.43,0.79,68.9,0.32,7.14,33.3,15.0
462,3,2,25,15,0,0.36,0.0,41.3,76.0,21.7,3.09,47.2,0.0,2.91,2.64,0.18,1.45,4.18,2.0,2.55,30.3,0.45,5.82,53.3,15.0
463,5,5,19,8,0,1.82,0.0,34.5,81.7,25.0,1.82,100.0,0.0,2.73,3.18,0.0,1.82,5.45,1.82,0.45,34.1,0.0,5.91,25.0,15.0
464,4,2,34,16,0,1.53,0.0,45.3,83.6,18.8,7.63,72.0,0.25,2.03,3.73,0.51,1.53,3.64,0.76,1.44,36.2,0.93,4.24,60.0,15.0
465,4,5,22,11,0,1.25,0.0,28.4,71.1,15.6,1.56,45.5,0.0,4.06,3.75,0.31,2.19,3.44,1.25,1.56,27.5,0.31,7.5,12.5,15.0
466,5,4,29,20,2,1.02,0.1,30.5,70.5,11.5,5.03,46.3,0.05,4.52,4.31,0.25,1.07,2.64,0.76,0.66,30.9,0.25,5.43,37.5,15.0
467,4,5,27,12,0,0.26,0.0,33.9,87.2,17.4,1.58,60.0,0.0,2.37,1.84,0.0,1.05,4.47,2.63,1.58,22.1,0.0,5.26,45.5,15.0
468,3,5,25,11,1,2.44,0.09,17.1,69.4,10.4,1.56,77.8,0.22,0.89,3.11,0.44,1.11,1.56,1.11,0.44,27.3,0.89,4.0,40.0,15.0
469,5,5,26,15,1,0.24,0.33,53.7,84.8,14.9,6.06,62.6,0.0,3.46,0.39,0.0,1.1,2.83,1.18,2.99,46.8,0.0,5.12,59.0,15.0
470,5,1,22,21,2,0.62,0.17,66.2,92.3,27.8,5.7,79.1,0.0,3.16,0.36,0.1,1.09,2.75,0.78,2.69,63.1,0.05,7.67,46.3,15.0
471,2,1,28,21,1,0.55,0.09,43.1,81.0,11.8,7.5,67.3,0.1,4.8,0.6,0.1,1.25,4.0,1.7,4.8,41.5,0.0,4.9,68.2,15.0
472,5,2,24,17,0,0.3,0.0,48.7,83.6,21.8,4.55,66.7,0.08,2.95,2.27,0.15,0.61,2.2,0.83,0.98,40.2,0.23,6.67,66.7,15.0
473,1,5,31,12,1,1.35,0.1,44.5,80.6,25.7,2.43,51.4,0.0,1.89,2.43,0.41,1.35,3.24,1.49,1.89,33.4,0.27,4.19,60.6,15.0
474,5,2,24,18,1,1.42,0.05,38.0,78.1,20.2,3.31,61.3,0.14,4.05,2.84,0.27,2.09,4.05,1.15,0.68,29.7,0.2,6.15,50.0,15.0
475,1,5,30,11,0,1.14,0.0,33.4,78.5,18.6,0.57,66.7,0.0,2.57,1.43,0.0,1.43,2.57,1.14,0.86,27.7,0.0,7.14,40.0,15.0
476,3,3,26,17,2,0.61,0.2,62.1,92.6,22.4,4.79,73.1,0.0,1.52,0.79,0.06,0.85,2.73,0.91,4.0,48.9,0.06,4.97,59.2,15.0
477,3,3,30,19,3,1.51,0.11,32.8,77.4,12.8,3.89,67.3,0.05,3.95,2.27,0.11,1.3,3.14,1.08,2.32,27.9,0.11,7.14,60.0,15.0
478,5,1,24,10,0,1.52,0.0,43.9,85.3,25.5,3.03,55.6,0.3,5.15,3.94,0.3,0.91,1.82,0.91,0.0,48.5,0.3,4.85,66.7,15.0
479,5,4,29,13,2,2.18,0.05,35.2,78.5,20.9,1.84,36.4,0.23,3.22,5.4,0.57,0.34,1.03,0.57,0.0,37.2,1.49,2.76,43.8,15.0
480,3,1,27,20,3,2.16,0.05,46.8,88.1,23.3,3.92,78.4,0.15,4.79,2.78,0.31,0.36,1.44,0.52,0.31,54.6,0.93,5.52,54.5,15.0
481,5,4,25,9,1,0.43,0.33,50.0,87.3,22.6,4.14,67.4,0.0,4.86,1.29,0.0,1.86,4.57,1.29,3.14,36.7,0.14,6.29,66.7,15.0
482,5,4,22,11,1,0.36,0.33,71.8,91.3,24.8,8.19,73.1,0.0,6.51,0.12,0.0,1.33,3.61,1.57,1.57,59.9,0.0,6.14,50.0,15.0
483,4,5,21,7,0,1.11,0.0,78.9,92.2,35.0,7.22,81.3,0.0,5.56,1.67,0.56,0.0,1.11,0.56,1.67,60.0,0.56,4.44,25.0,15.0
484,5,3,29,20,3,0.5,0.3,47.9,83.0,13.7,6.3,61.5,0.05,4.25,0.85,0.05,0.7,2.5,1.35,3.7,40.9,0.0,5.2,68.0,15.0
485,5,1,22,21,2,1.51,0.04,47.4,84.9,21.8,4.89,59.5,0.16,5.59,3.12,0.48,0.75,1.94,0.7,0.32,52.8,0.32,4.46,13.0,15.0
486,5,4,23,17,1,0.16,0.0,49.1,83.1,20.8,7.72,76.6,0.31,5.2,3.39,0.39,0.39,1.97,0.71,0.94,36.2,0.0,5.51,52.0,15.0
487,5,4,21,20,0,0.65,0.0,39.8,79.8,22.1,2.65,54.2,0.12,3.0,2.29,0.24,0.71,2.0,0.94,1.35,33.5,0.71,5.47,38.5,15.0
488,4,1,25,10,0,1.05,0.0,38.8,81.5,23.3,2.28,59.1,0.0,3.68,5.26,0.35,0.7,1.75,0.7,1.05,49.8,1.58,4.74,7.7,15.0
489,5,4,22,19,1,2.33,0.03,18.1,74.3,11.2,0.62,44.4,0.08,0.54,2.33,0.16,1.71,3.1,0.93,0.54,24.9,0.78,5.66,35.6,15.0
490,5,2,25,13,1,1.18,0.11,40.1,85.4,17.2,4.21,78.0,0.0,4.61,3.55,0.13,0.79,2.37,0.53,0.79,35.1,0.13,4.74,44.4,15.0
491,4,5,20,10,0,0.49,0.0,31.2,81.0,19.1,1.22,40.0,0.0,3.05,0.85,0.0,1.71,3.66,1.22,1.34,30.2,0.0,4.39,40.0,15.0
492,5,2,24,19,2,2.31,0.07,24.2,83.1,12.6,2.54,84.6,0.15,0.92,2.46,0.31,0.08,0.85,1.0,0.23,28.5,2.38,3.77,31.8,15.0
493,5,5,30,18,6,2.72,0.16,12.4,70.4,8.26,0.33,25.0,0.0,0.76,1.74,0.11,0.54,1.2,1.3,1.2,17.7,0.98,2.07,57.1,15.0
494,3,4,21,14,2,1.82,0.13,11.8,71.7,6.48,0.8,87.5,0.23,1.48,2.16,0.45,0.68,1.02,1.14,0.34,18.9,0.68,3.18,23.8,15.0
495,5,4,28,17,0,0.77,0.0,56.4,87.7,28.2,5.77,73.5,0.08,7.69,1.77,0.08,1.08,2.85,0.77,0.62,40.8,0.0,6.77,50.0,15.0
496,5,5,24,14,0,0.36,0.0,48.0,81.4,26.7,2.81,48.1,0.0,3.45,1.51,0.14,1.29,2.52,1.73,3.38,30.0,0.29,4.6,41.8,15.0
497,3,3,22,18,2,1.16,0.1,46.2,84.5,16.8,3.93,62.4,0.12,2.77,0.81,0.23,1.1,3.87,1.21,3.01,38.4,0.0,5.66,62.2,15.0
498,5,5,26,17,0,0.42,0.0,39.2,83.3,16.1,2.48,54.7,0.0,2.48,0.91,0.12,0.97,2.91,0.67,2.67,29.9,0.06,4.42,44.2,15.0
499,5,5,24,10,0,0.2,0.0,38.8,79.2,11.2,5.1,49.0,0.2,2.9,0.4,0.2,0.7,2.5,1.2,4.8,29.0,0.0,4.3,70.4,15.0
500,5,5,25,22,0,0.36,0.0,47.8,82.6,17.0,4.59,44.3,0.0,3.64,0.59,0.09,0.59,1.77,2.05,4.68,38.4,0.0,5.32,62.7,15.0
501,1,2,22,17,0,0.63,0.0,40.8,84.3,13.1,5.81,63.3,0.0,1.56,0.94,0.06,1.06,2.88,1.63,4.44,29.0,0.06,5.81,64.7,15.0
502,5,5,26,20,0,0.31,0.0,36.0,76.1,11.8,3.95,47.8,0.0,3.54,0.31,0.0,0.87,3.08,1.38,3.85,29.0,0.0,5.74,63.3,15.0
503,5,1,28,18,6,2.26,0.17,15.0,64.2,9.35,0.58,31.0,0.06,0.9,2.19,0.26,0.58,1.61,1.03,0.71,23.2,0.58,2.84,48.6,15.0
504,5,1,31,22,13,2.85,0.15,20.3,70.0,10.8,1.26,52.9,0.19,1.92,3.64,0.33,0.84,2.1,0.7,0.19,30.1,0.51,2.76,45.5,15.0
505,5,2,29,18,0,0.22,0.0,48.7,88.2,29.0,1.78,72.7,0.0,2.0,1.41,0.15,1.19,2.89,1.04,1.56,35.0,0.74,4.22,33.3,15.0
506,5,1,29,17,3,1.59,0.12,38.0,83.3,14.6,6.75,69.3,0.06,4.78,1.72,0.13,1.72,4.65,1.46,1.46,41.5,0.38,8.15,62.5,15.0
507,5,5,27,13,0,0.67,0.0,60.8,87.8,22.0,5.67,59.0,0.19,3.94,1.06,0.29,0.77,2.6,1.44,2.6,55.9,0.0,4.62,67.6,15.0
508,4,5,28,22,2,0.73,0.13,35.3,81.7,17.1,1.96,46.2,0.0,3.11,1.28,0.0,0.78,2.56,0.78,3.15,24.8,0.05,6.94,62.7,15.0
509,5,5,29,8,0,0.83,0.0,49.4,83.0,16.4,4.58,55.9,0.0,2.36,0.83,0.14,1.39,3.89,0.83,3.33,42.1,0.0,7.92,72.0,15.0
510,3,2,25,21,12,2.64,0.24,25.4,76.1,13.9,1.46,56.8,0.28,1.6,4.65,0.69,0.21,0.76,0.9,0.0,29.2,1.74,4.86,25.0,15.0
511,5,5,25,11,0,0.0,0.0,34.6,81.5,16.9,3.43,63.2,0.0,4.0,1.71,0.0,1.57,4.0,1.71,2.43,22.0,0.14,5.71,53.8,15.0
512,5,2,26,15,1,1.22,0.06,55.1,82.8,15.8,9.47,65.6,0.08,4.96,0.99,0.15,1.98,5.8,1.91,3.44,47.6,0.08,7.86,71.9,15.0
513,5,5,25,18,1,3.16,0.06,13.0,70.5,8.6,0.53,100.0,0.0,0.7,1.05,0.18,0.18,1.05,0.53,2.11,16.1,0.18,2.81,39.2,15.0
514,5,5,26,14,1,2.03,0.06,14.6,74.7,10.3,0.38,60.0,0.0,0.76,1.14,0.0,0.38,1.01,0.51,0.0,16.7,0.38,2.53,30.3,15.0
515,5,1,30,20,0,0.61,0.0,63.3,85.2,24.0,7.21,57.5,0.06,6.73,1.27,0.06,1.09,4.55,1.03,2.42,64.6,0.06,6.12,60.5,15.0
516,5,4,26,19,7,2.36,0.18,40.9,79.8,22.9,4.6,61.2,0.19,3.91,3.48,0.5,1.43,2.92,0.99,0.56,33.7,0.25,4.84,50.0,15.0
517,5,4,25,14,3,3.76,0.09,12.2,70.7,7.53,0.35,50.0,0.0,0.59,1.29,0.0,0.12,0.94,0.12,0.94,12.5,0.71,2.94,41.9,15.0
518,3,2,27,16,4,1.86,0.17,28.9,80.9,15.0,2.48,52.5,0.16,2.56,3.64,0.39,0.16,0.47,0.47,0.23,28.7,0.39,3.8,26.3,15.0
519,5,5,23,20,0,0.19,0.0,35.3,71.0,17.8,1.98,33.3,0.12,3.33,1.05,0.12,1.23,3.21,1.36,2.53,26.7,0.19,6.3,50.0,15.0
520,3,1,23,18,12,2.14,0.33,10.0,74.0,5.78,0.19,60.0,0.0,0.91,1.69,0.26,0.32,0.71,0.71,0.65,17.4,0.71,2.27,21.7,15.0
521,5,4,29,15,0,0.87,0.0,35.0,75.5,19.9,2.07,44.9,0.2,2.53,1.33,0.27,1.47,3.07,1.13,2.6,26.7,0.8,5.2,33.3,15.0
522,4,2,31,13,1,1.72,0.0,23.9,63.8,12.3,2.66,40.5,0.31,1.88,4.53,0.63,0.47,0.78,0.78,0.31,30.0,2.81,3.28,30.0,15.0
523,4,2,25,19,2,1.11,0.15,49.4,80.7,31.4,1.97,52.3,0.09,3.25,3.85,0.26,0.94,2.48,1.03,0.77,41.2,0.51,6.07,33.3,15.0
524,5,3,23,19,0,0.37,0.0,47.7,85.4,20.7,3.17,53.6,0.0,1.27,0.16,0.0,0.58,1.96,1.69,5.71,39.3,0.0,6.56,62.3,15.0
525,5,4,26,19,0,0.42,0.0,49.3,87.8,14.8,5.58,65.8,0.0,3.53,0.58,0.05,0.84,3.37,0.53,4.26,41.1,0.0,5.89,51.5,15.0
526,4,5,28,12,1,0.93,0.1,30.7,72.6,15.9,2.24,55.8,0.19,3.83,1.96,0.47,1.12,4.39,1.5,2.15,23.5,0.09,8.97,47.4,15.0
527,4,2,27,15,2,2.7,0.12,11.7,67.3,6.83,0.48,42.9,0.16,0.63,2.7,0.16,0.32,0.63,0.32,1.75,17.6,1.43,2.06,33.3,15.0
528,5,2,26,18,5,3.59,0.09,22.4,61.7,10.8,3.98,54.8,0.23,2.27,3.75,0.23,0.86,1.8,1.48,0.94,29.5,1.33,5.0,30.4,15.0
529,5,5,29,8,1,2.0,0.14,20.9,73.7,10.9,2.0,53.8,0.0,2.29,2.57,0.0,1.14,1.71,1.14,1.14,24.0,0.86,5.43,20.0,15.0
530,5,3,24,15,1,0.86,0.13,54.2,86.4,27.0,2.69,73.5,0.11,5.16,3.33,0.22,1.83,5.48,1.29,1.4,37.3,0.11,9.25,58.3,15.0
531,5,5,27,23,2,1.42,0.03,23.0,64.7,10.8,3.92,48.0,0.28,2.78,4.06,0.38,0.28,0.71,0.85,0.24,23.6,0.42,4.15,25.9,15.0
532,5,1,26,18,1,1.5,0.06,18.8,68.2,9.92,2.0,49.0,0.08,2.0,1.83,0.25,0.58,2.58,0.67,0.92,27.8,0.58,5.33,43.6,15.0
533,5,5,25,20,2,1.76,0.09,28.9,69.3,17.3,1.3,31.5,0.15,2.21,2.44,0.38,1.37,3.44,0.99,1.68,28.9,0.38,3.82,29.6,15.0
534,5,2,25,19,3,0.94,0.06,50.2,84.9,24.5,3.71,70.0,0.12,5.06,2.41,0.35,0.76,2.41,1.76,0.82,42.4,0.29,6.35,48.6,15.0
535,5,2,23,17,3,2.69,0.05,12.9,63.4,9.03,0.34,38.5,0.0,0.62,2.48,0.14,0.28,0.55,0.9,0.34,14.7,0.41,1.38,28.4,15.0
536,5,2,23,13,1,1.56,0.1,26.4,75.4,12.2,2.66,58.6,0.0,2.34,2.81,0.31,1.09,3.28,0.94,1.25,17.3,0.0,4.84,45.0,15.0
537,5,4,30,17,0,1.15,0.0,28.3,74.2,13.1,1.79,48.3,0.26,2.05,3.08,0.26,1.03,2.05,1.28,1.03,25.6,0.26,4.36,22.2,15.0
538,4,5,28,12,1,0.48,0.5,24.0,74.3,13.6,1.43,46.2,0.0,0.95,1.19,0.0,1.67,2.86,1.67,0.95,22.4,0.24,6.67,0.0,15.0
539,5,3,33,12,2,2.07,0.11,24.0,76.3,13.7,0.46,26.7,0.23,1.49,2.53,0.23,1.26,2.18,0.57,0.46,24.8,0.57,3.22,22.2,15.0
540,3,5,25,20,0,0.05,0.0,39.5,73.3,17.6,3.73,43.9,0.0,3.01,1.92,0.1,0.93,3.01,1.76,2.38,32.4,0.47,7.41,56.8,15.0
541,5,4,28,18,0,0.55,0.0,45.2,86.8,21.8,3.6,66.3,0.0,4.02,1.1,0.06,1.89,4.21,1.89,2.32,29.1,0.12,6.22,57.5,15.0
542,5,2,28,21,1,0.36,0.14,46.9,88.9,21.2,4.52,69.0,0.0,2.23,0.41,0.15,0.66,2.59,1.12,3.5,28.9,0.05,4.16,65.3,15.0
543,5,3,20,15,2,2.41,0.07,8.48,60.1,4.46,0.89,83.3,0.18,0.98,3.21,0.36,0.36,1.07,0.89,0.54,20.9,2.14,2.23,29.0,15.0
544,3,3,28,15,1,2.14,0.07,57.4,86.3,30.0,2.71,59.4,0.14,5.14,1.57,0.14,2.0,5.29,0.43,1.29,44.6,0.0,6.71,42.1,15.0
545,5,2,19,18,2,0.73,0.2,44.9,79.5,23.1,3.94,48.2,0.0,5.11,1.31,0.22,1.39,4.38,1.46,2.19,36.0,0.22,7.15,60.0,15.0
546,5,2,23,16,0,0.53,0.0,36.8,85.9,10.7,3.68,67.1,0.15,1.2,0.6,0.08,1.05,3.31,0.83,3.76,24.3,0.0,6.69,52.4,15.0
547,5,5,25,18,1,0.13,0.5,36.2,78.3,10.9,4.34,50.0,0.0,2.7,0.44,0.06,1.38,3.52,1.38,5.09,30.9,0.0,5.72,52.2,15.0
548,5,2,27,14,2,1.21,0.15,63.8,85.7,28.5,7.76,69.2,0.0,7.85,3.46,0.37,2.24,4.67,1.12,0.28,53.0,0.09,6.54,58.3,15.0
549,5,2,27,12,3,2.5,0.6,20.5,70.7,10.0,1.5,100.0,0.0,1.5,2.5,1.0,1.0,6.5,0.0,1.0,33.5,0.5,3.5,23.1,15.0
