,Nation_Ranking,League_Ranking,Age,MP,TotGoals,Shots,G/Sh,CompPass,CompPass%,ShoPass,LongPass,LongPass%,Assists,Pas3rd,SCA,GCA,TklWon,TklInt,Blocks,Clearence,Carries,CPA,Recov,AerWon%,MV
1235,5,3,21,9,0,0.67,0.0,11.3,53.1,5.33,2.67,57.1,0.0,0.0,1.33,0.0,0.67,4.0,1.33,2.67,19.3,1.33,5.33,75.0,5.0
1236,5,5,32,16,1,2.52,0.03,14.4,82.4,9.29,0.16,33.3,0.16,1.18,2.36,0.55,0.39,0.94,0.79,0.87,17.6,0.39,1.26,52.2,5.0
1237,3,3,29,16,2,1.31,0.12,32.2,69.7,17.0,2.85,44.0,0.0,2.38,1.92,0.0,0.77,3.31,1.08,1.23,26.4,0.0,5.15,35.5,5.0
1238,1,1,26,23,0,0.48,0.0,38.3,82.1,15.2,3.3,50.7,0.04,2.83,0.57,0.09,0.7,2.78,1.26,3.0,38.7,0.0,4.96,58.1,5.0
1239,5,5,34,16,3,1.72,0.13,29.9,79.2,15.1,3.43,63.9,0.15,1.87,4.48,0.6,0.45,1.27,0.6,0.3,31.3,1.19,5.37,35.3,5.0
1240,4,4,34,17,0,0.36,0.0,51.2,93.0,22.9,2.23,72.1,0.0,3.17,0.94,0.14,0.58,1.8,0.86,3.31,39.9,0.0,5.04,56.4,5.0
1241,3,3,23,8,1,1.82,0.5,30.0,73.3,18.2,0.91,50.0,0.91,0.91,2.73,0.91,1.82,3.64,0.91,4.55,38.2,1.82,7.27,50.0,5.0
1242,5,3,27,13,1,1.43,0.09,40.5,75.0,20.3,3.38,50.0,0.13,3.12,2.34,0.39,0.78,2.47,2.47,1.43,37.5,0.65,5.32,71.4,5.0
1243,3,3,23,17,1,1.56,0.1,25.0,78.0,15.5,0.78,62.5,0.16,1.25,2.66,0.63,0.31,1.09,1.09,1.09,24.1,0.63,3.44,17.6,5.0
1244,2,1,21,9,0,0.66,0.0,46.7,89.9,10.9,5.26,72.7,0.0,2.5,0.53,0.26,0.53,1.58,0.92,4.47,48.2,0.0,3.95,72.2,5.0
1245,5,5,26,17,0,0.29,0.0,41.7,80.1,12.2,6.76,62.7,0.0,3.67,0.58,0.0,0.94,3.38,1.22,4.03,31.3,0.0,5.4,72.5,5.0
1246,4,4,30,12,0,0.75,0.0,43.1,84.5,19.0,4.33,61.7,0.0,1.64,0.3,0.0,0.9,4.03,1.79,6.57,35.7,0.15,6.87,62.5,5.0
1247,5,5,25,18,0,1.61,0.0,24.1,78.1,10.4,1.94,55.6,0.06,1.42,1.29,0.13,0.9,2.19,1.42,2.19,15.9,0.13,6.0,61.4,5.0
1248,3,3,34,20,0,0.3,0.0,38.4,77.5,9.15,5.48,49.5,0.0,2.41,1.01,0.0,0.7,3.17,1.26,4.82,29.6,0.05,5.68,68.4,5.0
1249,4,3,23,10,1,3.52,0.05,14.4,57.8,6.3,2.22,38.7,0.0,0.93,4.07,0.19,0.74,1.48,0.93,1.3,22.2,0.56,5.93,40.7,5.0
1250,1,2,21,18,0,0.95,0.0,37.9,75.5,17.5,4.29,50.9,0.08,2.3,2.22,0.4,0.87,3.1,1.35,0.71,33.7,0.71,5.87,30.0,5.0
1251,5,2,24,15,0,2.29,0.0,25.7,68.3,14.7,2.17,48.6,0.0,1.45,4.1,0.0,1.57,3.61,1.08,0.6,25.1,0.96,5.78,23.1,5.0
1252,5,2,30,6,1,1.43,0.2,41.4,79.7,27.1,1.71,60.0,0.29,2.0,2.0,0.86,1.14,2.86,1.14,1.43,39.1,1.14,6.29,0.0,5.0
1253,5,4,24,15,0,2.41,0.0,30.7,76.5,16.3,1.48,57.1,0.0,3.52,3.15,0.0,0.74,1.48,0.93,0.56,28.9,0.19,6.67,50.0,5.0
1254,3,1,30,6,0,0.0,0.0,33.3,66.7,11.7,5.0,60.0,0.0,6.67,6.67,0.0,0.0,1.67,0.0,0.0,45.0,0.0,1.67,0.0,5.0
1255,1,2,22,9,0,0.89,0.0,34.2,78.2,13.3,2.67,60.0,0.0,1.33,0.89,0.0,1.11,4.0,1.56,2.44,24.7,0.0,5.33,62.5,5.0
1256,5,3,31,18,3,1.93,0.12,13.0,62.7,7.7,0.89,66.7,0.07,1.11,1.11,0.07,0.15,0.89,0.96,1.26,12.9,0.37,3.26,43.3,5.0
1257,5,2,35,14,0,0.49,0.0,51.7,87.7,18.9,6.02,74.0,0.08,3.09,0.98,0.0,0.57,2.28,0.57,3.33,36.7,0.08,4.96,63.0,4.0
1258,5,4,29,18,7,3.1,0.13,15.3,56.0,7.21,3.49,50.0,0.16,1.47,2.48,0.16,0.23,0.85,0.47,0.7,21.9,0.39,3.1,42.6,4.0
1259,5,3,21,10,0,1.52,0.0,24.5,60.0,11.5,2.42,57.1,0.0,1.21,1.52,0.0,2.73,5.45,1.82,1.82,23.6,0.61,7.27,50.0,4.0
1260,5,2,30,20,0,0.78,0.0,51.9,72.0,22.1,6.5,41.3,0.11,4.44,4.89,0.22,1.28,2.44,0.89,1.44,36.7,0.22,4.78,40.7,4.0
1261,5,4,30,15,0,0.38,0.0,35.1,73.0,21.4,1.85,35.8,0.08,1.62,1.08,0.15,1.62,3.23,0.92,2.69,29.4,0.15,4.31,46.2,4.0
1262,4,1,23,12,1,0.4,0.25,40.2,81.9,8.0,8.1,65.9,0.0,2.2,0.5,0.2,0.9,2.5,1.0,3.7,40.9,0.0,5.1,54.3,4.0
1263,4,4,34,8,0,0.24,0.0,37.9,79.1,10.5,6.19,54.2,0.0,1.43,0.95,0.0,0.48,2.14,2.14,6.43,29.5,0.0,4.52,46.2,4.0
1264,5,3,34,16,0,0.86,0.0,62.3,87.8,17.3,11.1,75.1,0.0,3.75,1.48,0.16,1.09,4.06,1.56,3.75,51.6,0.0,5.39,61.7,4.0
1265,5,4,36,6,0,0.7,0.0,82.1,91.7,23.7,13.0,84.8,0.0,10.9,1.16,0.0,0.93,1.63,0.47,4.42,66.0,0.0,6.05,76.9,4.0
1266,5,4,37,16,1,1.21,0.07,44.1,83.5,22.3,3.79,74.6,0.16,4.76,3.06,0.81,0.89,1.94,0.4,0.73,39.5,0.89,5.32,42.9,4.0
1267,4,1,35,22,0,0.86,0.0,38.5,81.5,10.9,3.77,53.9,0.05,2.91,1.14,0.18,1.59,4.5,2.23,2.91,40.0,0.09,6.64,64.0,3.0
1268,5,1,30,15,0,0.31,0.0,37.9,87.3,17.9,2.64,66.7,0.08,3.88,1.24,0.08,2.02,4.96,1.4,1.55,41.0,0.0,6.51,44.4,3.0
1269,5,4,26,19,0,0.71,0.0,44.2,83.0,16.7,8.57,73.0,0.16,5.32,3.17,0.32,0.48,1.59,0.87,0.56,38.8,0.08,5.71,48.0,3.0
1270,4,2,24,21,0,1.13,0.0,19.6,70.6,11.1,1.19,54.3,0.0,2.44,1.88,0.13,1.38,3.38,1.75,0.13,23.9,0.69,5.69,31.0,3.0
1271,3,1,28,19,1,0.97,0.11,26.1,71.9,12.7,2.26,55.3,0.0,2.15,1.4,0.11,1.4,3.87,1.29,0.75,35.3,0.75,5.27,51.9,3.0
1272,5,4,25,21,0,1.05,0.0,34.0,77.3,17.5,2.14,40.5,0.0,2.0,1.57,0.1,0.76,1.9,1.0,1.48,27.2,0.52,5.14,45.8,3.0
1273,5,1,20,6,0,0.36,0.0,28.2,74.5,17.9,0.71,40.0,0.0,2.5,1.79,0.0,1.07,2.86,0.36,0.71,38.2,0.36,6.43,40.0,3.0
1274,5,5,33,6,1,0.77,0.5,34.6,60.4,18.8,4.62,35.3,0.0,2.31,3.08,0.0,0.38,1.92,2.31,1.92,31.9,0.0,5.38,50.0,3.0
1275,5,4,28,16,0,1.48,0.0,13.3,56.0,8.4,0.99,30.8,0.12,0.37,2.72,0.12,1.98,3.21,1.48,0.86,21.9,0.25,4.57,58.3,3.0
1276,5,4,22,18,2,0.79,0.18,40.1,81.6,21.4,3.38,52.8,0.22,5.4,3.45,0.29,1.73,3.24,0.86,0.58,38.3,0.14,5.68,36.0,3.0
